TOP[Pa]	TIT[K]	Efficiency[-]	Net_sp_work[J/kgCO2]	TOT[K]
100000.000000	1000.000000	0.307700	274873.006000	476.070846	
100000.000000	1005.000000	0.310900	279148.016000	478.970176	
100000.000000	1010.000000	0.314200	283426.328000	481.868935	
100000.000000	1015.000000	0.317400	287707.986000	484.767132	
100000.000000	1020.000000	0.320600	291993.035000	487.664778	
100000.000000	1025.000000	0.323800	296281.515000	490.561882	
100000.000000	1030.000000	0.326900	300573.475000	493.458454	
100000.000000	1035.000000	0.330000	304868.955000	496.354503	
100000.000000	1040.000000	0.333100	309167.994000	499.250038	
100000.000000	1045.000000	0.336200	313470.634000	502.145066	
100000.000000	1050.000000	0.339200	317776.913000	505.039596	
100000.000000	1055.000000	0.342200	322086.871000	507.933635	
100000.000000	1060.000000	0.345200	326400.546000	510.827191	
100000.000000	1065.000000	0.348200	330718.742000	513.720188	
100000.000000	1070.000000	0.351100	335040.003000	516.612795	
100000.000000	1075.000000	0.353800	339082.036000	519.345078	
100000.000000	1080.000000	0.356300	342770.831000	521.873131	
100000.000000	1085.000000	0.358800	346505.241000	524.425621	
100000.000000	1090.000000	0.361200	350262.410000	526.988450	
100000.000000	1095.000000	0.363700	354033.508000	529.557036	
100000.000000	1100.000000	0.366100	357815.207000	532.128510	
100000.000000	1105.000000	0.368600	361603.858000	534.702454	
100000.000000	1110.000000	0.371000	365397.518000	537.278220	
100000.000000	1115.000000	0.373400	369196.860000	539.853791	
100000.000000	1120.000000	0.375800	373000.264000	542.429305	
100000.000000	1125.000000	0.378100	376807.127000	545.004381	
100000.000000	1130.000000	0.380500	380616.977000	547.578714	
100000.000000	1135.000000	0.382800	384428.334000	550.152898	
100000.000000	1140.000000	0.385100	388241.704000	552.725575	
100000.000000	1145.000000	0.387500	392057.725000	555.296938	
100000.000000	1150.000000	0.389700	395875.417000	557.866932	
100000.000000	1155.000000	0.392000	399694.593000	560.435446	
100000.000000	1160.000000	0.394300	403515.090000	563.002383	
100000.000000	1165.000000	0.396500	407336.771000	565.567660	
100000.000000	1170.000000	0.398700	411159.515000	568.131204	
100000.000000	1175.000000	0.400900	414983.254000	570.692943	
100000.000000	1180.000000	0.403100	418807.825000	573.252836	
100000.000000	1185.000000	0.405300	422633.181000	575.810826	
100000.000000	1190.000000	0.407400	426459.252000	578.366868	
100000.000000	1195.000000	0.409600	430285.907000	580.920929	
100000.000000	1200.000000	0.411700	434113.240000	583.472957	
100000.000000	1205.000000	0.413800	437941.116000	586.022930	
100000.000000	1210.000000	0.415900	441780.537000	588.569689	
100000.000000	1215.000000	0.418000	445603.640000	591.116052	
100000.000000	1220.000000	0.420100	449427.177000	593.660274	
100000.000000	1225.000000	0.422100	453251.107000	596.202334	
100000.000000	1230.000000	0.424100	457091.469000	598.740584	
100000.000000	1235.000000	0.426200	460917.519000	601.278129	
100000.000000	1240.000000	0.428200	464747.205000	603.813111	
100000.000000	1245.000000	0.430200	468578.068000	606.345781	
100000.000000	1250.000000	0.432200	472409.195000	608.876207	
100000.000000	1255.000000	0.434100	476240.567000	611.404377	
